12391,9681,17324,9185
9305,3504,13645,3536
17891,15186,20212,10044
2516,2683,11452,2559
9066,1162,12138,1064
14945,13311,19586,8641
23361,19351,23365,8053
22977,12147,23330,18736
22366,17934,24782,10440
23422,13376,25157,19480
174,120,13154,95
20229,8184,22439,15505
19294,9680,20032,1010
17808,13547,20513,17806
25027,23075,25028,18858
10785,7226,14478,9339
9843,6928,14310,6979
12824,11423,15216,4852
2150,2187,2348,2327
5093,25691,7690,7687
6892,7014,14310,6928
15029,10848,15874,11975
11817,8102,15675,11719
2387,2146,13809,2345
4638,4765,15319,4734
20920,8373,24193,16158
22665,3454,24899,13566
10647,8927,11849,8419
24041,18486,25645,22790
3870,3682,13414,3715
6210,6078,14295,6084
1997,1931,8775,2138
6915,6856,8980,6942
8593,6007,24597,7910
11415,3431,19646,9321
14872,14016,23564,11116
17976,13695,22405,9838
4661,4602,12219,13004
25691,25690,5183,25692
16261,9784,19207,12304
21070,19583,23488,14944
23173,10807,23181,18997
13906,9429,18226,12823
2264,2241,10021,2198
10399,7179,12662,7216
16014,12098,21336,13360
17497,8214,20560,10173
18540,14398,18868,14123
10948,4856,14813,4825
13780,11805,17496,8214
12953,5020,19897,5124
15957,9027,20716,12053
13346,2575,17557,2476
12784,5105,14186,9399
21855,13027,21856,17217
5492,5397,13904,5556
9175,817,15804,931
9660,9606,13078,1794
10832,1411,25074,1555
12034,9655,15341,101
4525,4337,9210,4511
10949,1601,17039,1472
7730,2750,2857,2733
8729,2636,14374,2675
21435,15025,24426,20634
15335,11533,15337,8787
15231,8140,23660,11441
18976,15583,23157,9116
4338,4546,10035,4297
15977,13957,18307,9367
11647,8835,13935,10311
15978,9996,24104,3454
13953,9414,13954,10324
13432,8061,16793,9896
20753,11933,22395,8966
5081,5040,11422,5162
13213,11848,16654,9292
16465,16463,21224,9216
20529,6032,25333,11863
23892,16636,25250,22054
14315,393,14316,8860
10820,9455,14522,8490
9984,9983,17350,8113
12684,9890,21495,6297
2671,2891,2901,14119
2340,2440,10149,2324
14549,10507,22832,396
22700,14005,25381,21329
20908,15680,25319,9824
10721,3072,13116,2934
11571,9823,11574,8800
13820,17653,18131,8828
10765,8464,13563,4203
1813,1704,8788,1741
3479,3294,11821,3424
675,634,11189,549
17977,10098,21348,8173
13179,9706,13180,961
15805,8534,16986,14658
5440,5430,13709,5299
11278,4504,12358,4562
22107,9858,22108,17605
11246,8667,16739,11245
13168,9693,14112,8717
10825,735,15328,693
6705,6728,16066,6746
4710,4607,13124,4569
17248,13060,23751,7922
10473,149,11006,10471
2113,2258,13123,2117
6261,6379,10837,6308
7660,5613,5632,5768
14977,14973,23701,8463
12369,4712,16353,10374
18509,14809,20110,8735
886,769,11361,819
2875,2944,11136,2999
10512,3705,13437,3589
13770,11122,14879,8211
22592,8261,24867,22585
16661,12871,17032,8883
7685,7686,7762,25774
16791,8060,21509,9565
14237,6421,14624,6336
17482,14240,22023,8383
4325,4334,9153,4452
15196,13911,18234,10292
13542,9933,15428,2705
37,73,9678,66
17282,13121,9637,2779
15412,10552,20140,11599
12578,634,18402,751
15317,9392,19313,11513
14343,8630,21484,9244
11222,2713,14988,2699
4122,4159,11848,3938
25772,25781,25694,25785
12612,9685,13161,2028
15031,7983,16953,9420
11430,4266,16660,4442
1855,1893,12843,1967
13803,12828,16717,12640
15855,10459,20621,8309
9195,3274,16075,3429
7449,7492,15108,7477
24028,11999,25318,23935
13850,10245,13851,8243
10494,1238,14149,1242
4207,4332,10041,4415
18511,15095,19761,8338
3845,3714,9571,3655
10599,7587,10815,7584
11526,10196,11807,725
12153,6307,12470,6236
12835,9438,13920,5500
10598,1070,14274,1106
23383,19377,25222,10429
4961,4863,15861,4891
20635,12263,20976,11972
5318,7732,7694,5332
4141,4117,11702,3981
5836,5950,13952,5971
